ano,estado,estado_cod,ntl_idx,fuente
2008,Lara,LA,12.2288,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Merida,ME,8.7777,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Miranda,MI,19.2278,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Monagas,MO,11.8385,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Nueva Esparta,NE,20.7342,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Portuguesa,PO,10.9609,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Sucre,SU,9.1716,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Tachira,TA,10.2393,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Trujillo,TR,10.1395,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Vargas,VA,24.8994,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
